iNaturalist taxon name,iNaturalist taxon ID,Taxon name,Phylum,observationId,Latitude,Longitude,Date observed,Recorded by,Community
Dendronotus iris,47706,Dendronotus iris,Mollusca,PMLS:26,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Dirona albolineata,47477,Dirona albolineata,Mollusca,PMLS:27,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Hermissenda crassicornis,495552,Hermissenda crassicornis,Mollusca,PMLS:28,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Scyra acutifrons,47712,Scyra acutifrons,Arthropoda,PMLS:29,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Phyllolithodes papillosus,424896,Phyllolithodes papillosus,Arthropoda,PMLS:30,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Pagurus armatus,459543,Pagurus armatus,Arthropoda,PMLS:31,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Balanus nubilus,49127,Balanus nubilus,Arthropoda,PMLS:32,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Pisaster ochraceus,49699,Pisaster ochraceus,Echinodermata,PMLS:33,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Pisaster brevispinus,49539,Pisaster brevispinus,Echinodermata,PMLS:34,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Evasterias troschelii,84265,Evasterias troschelii,Echinodermata,PMLS:35,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Orthasterias koehleri,47669,Orthasterias koehleri,Echinodermata,PMLS:36,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Dermasterias imbricata,63382,Dermasterias imbricata,Echinodermata,PMLS:37,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Henricia aspera aspera,1265168,Henricia aspera aspera,Echinodermata,PMLS:38,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Pycnopodia helianthoides,47673,Pycnopodia helianthoides,Echinodermata,PMLS:39,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Crossaster papposus,192687,Crossaster papposus,Echinodermata,PMLS:40,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Solaster dawsoni,117692,Solaster dawsoni,Echinodermata,PMLS:41,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Solaster stimpsoni,208013,Solaster stimpsoni,Echinodermata,PMLS:42,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Mesocentrotus franciscanus,992313,Mesocentrotus franciscanus,Echinodermata,PMLS:43,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Strongylocentrotus droebachiensis,120070,Strongylocentrotus droebachiensis,Echinodermata,PMLS:44,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Apostichopus californicus,202640,Apostichopus californicus,Echinodermata,PMLS:45,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Cucumaria miniata,117695,Cucumaria miniata,Echinodermata,PMLS:46,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Corella willmeriana,447661,Corella willmeriana,Chordata,PMLS:47,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Ascidia paratropa,415129,Ascidia paratropa,Chordata,PMLS:48,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Cnemidocarpa finmarkiensis,47807,Cnemidocarpa finmarkiensis,Chordata,PMLS:49,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,Chordata,PMLS:50,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Sebastes caurinus,68597,Sebastes caurinus,Chordata,PMLS:51,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Hexagrammos decagrammus,68596,Hexagrammos decagrammus,Chordata,PMLS:52,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Ophiodon elongatus,52539,Ophiodon elongatus,Chordata,PMLS:53,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Artedius harringtoni,117528,Artedius harringtoni,Chordata,PMLS:54,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Jordania zonope,222465,Jordania zonope,Chordata,PMLS:55,48.939813,-123.501514,1969-02-21 11:00:00,Andy Lamb,Marine
Clathria pennata,63672,Clathria (Microciona) pennata,Porifera,PMLS:2661,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Abietinaria,55322,Abietinaria spp.,Cnidaria,PMLS:2662,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Aequorea,191502,Aequorea spp.,Cnidaria,PMLS:2663,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Aurelia labiata,130235,Aurelia labiata,Cnidaria,PMLS:2664,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,Cnidaria,PMLS:2665,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pachycerianthus fimbriatus,47702,Pachycerianthus fimbriatus,Cnidaria,PMLS:2666,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Balanophyllia elegans,51799,Balanophyllia elegans,Cnidaria,PMLS:2667,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Anthopleura artemisia,51658,Anthopleura artemisia,Cnidaria,PMLS:2668,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Urticina clandestina,898651,Urticina clandestina,Cnidaria,PMLS:2669,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Metridium senile,49071,Metridium senile,Cnidaria,PMLS:2670,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Metridium farcimen,51812,Metridium farcimen,Cnidaria,PMLS:2671,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Dodecaceria pacifica,1500739,Dodecaceria fewkesi,Annelida,PMLS:2672,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Thelepus,117588,Thelepus spp.,Annelida,PMLS:2673,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Serpula columbiana,131207,Serpula columbiana,Annelida,PMLS:2674,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pileolaria,353085,Pileolaria spp.,Basidiomycota,PMLS:2675,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Tonicella insignis,498132,Tonicella insignis,Mollusca,PMLS:2676,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Tonicella lineata,47425,Tonicella lineata,Mollusca,PMLS:2677,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Mopalia,47630,Mopalia sp.,Mollusca,PMLS:2678,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Cryptochiton stelleri,49053,Cryptochiton stelleri,Mollusca,PMLS:2679,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Euspira pallida,873876,Euspira pallida,Mollusca,PMLS:2680,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Ceratostoma foliatum,116687,Ceratostoma foliatum,Mollusca,PMLS:2681,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Cadlina luteomarginata,50146,Cadlina luteomarginata complex,Mollusca,PMLS:2682,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Diaulula odonoghuei,508237,Diaulula odonoghuei,Mollusca,PMLS:2683,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Dendronotus iris,47706,Dendronotus iris,Mollusca,PMLS:2684,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Dendronotus rufus,50393,Dendronotus rufus,Mollusca,PMLS:2685,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Armina californica,47499,Armina californica,Mollusca,PMLS:2686,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Coryphella verrucosa,633193,Coryphella verrucosa,Mollusca,PMLS:2687,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Crassadoma gigantea,54526,Crassadoma gigantea,Mollusca,PMLS:2688,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pododesmus macrochisma,68652,Pododesmus macrochisma,Mollusca,PMLS:2689,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Tresus capax,126927,Tresus capax,Mollusca,PMLS:2690,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Enteroctopus dofleini,48863,Enteroctopus dofleini,Mollusca,PMLS:2691,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Balanus glandula,81610,Balanus glandula / Balanus crenatus,Arthropoda,PMLS:2692,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Balanus nubilus,49127,Balanus nubilus,Arthropoda,PMLS:2693,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Chromopleustes oculatus,796029,Chromopleustes oculatus,Arthropoda,PMLS:2694,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pandalus danae,154708,Pandalus danae,Arthropoda,PMLS:2695,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pagurus beringanus,362749,Pagurus beringanus,Arthropoda,PMLS:2696,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pugettia producta,49723,Pugettia producta,Arthropoda,PMLS:2697,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pugettia gracilis,130344,Pugettia gracilis,Arthropoda,PMLS:2698,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Scyra acutifrons,47712,Scyra acutifrons,Arthropoda,PMLS:2699,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Cancer productus,47826,Cancer productus,Arthropoda,PMLS:2700,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Glebocarcinus oregonensis,429951,Glebocarcinus oregonensis,Arthropoda,PMLS:2701,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Crisia,192680,Crisia spp.,Bryozoa,PMLS:2702,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Membranipora villosa,360867,Membranipora villosa,Bryozoa,PMLS:2703,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Schizoporella japonica,519486,Schizoporella japonica,Bryozoa,PMLS:2704,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Florometra serratissima,195902,Florometra serratissima,Echinodermata,PMLS:2705,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Dermasterias imbricata,63382,Dermasterias imbricata,Echinodermata,PMLS:2706,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Evasterias troschelii,84265,Evasterias troschelii,Echinodermata,PMLS:2707,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Orthasterias koehleri,47669,Orthasterias koehleri,Echinodermata,PMLS:2708,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pisaster brevispinus,49539,Pisaster brevispinus,Echinodermata,PMLS:2709,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pisaster ochraceus,49699,Pisaster ochraceus,Echinodermata,PMLS:2710,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pycnopodia helianthoides,47673,Pycnopodia helianthoides,Echinodermata,PMLS:2711,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Strongylocentrotus droebachiensis,120070,Strongylocentrotus droebachiensis,Echinodermata,PMLS:2712,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Mesocentrotus franciscanus,992313,Mesocentrotus franciscanus,Echinodermata,PMLS:2713,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Apostichopus californicus,202640,Apostichopus californicus,Echinodermata,PMLS:2714,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Perophora annectens,372665,Perophora annectens,Chordata,PMLS:2715,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Corella willmeriana,447661,Corella willmeriana,Chordata,PMLS:2716,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Cnemidocarpa finmarkiensis,47807,Cnemidocarpa finmarkiensis,Chordata,PMLS:2717,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Metandrocarpa taylori,371195,Metandrocarpa taylori,Chordata,PMLS:2718,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Styela gibbsii,521988,Styela gibbsii,Chordata,PMLS:2719,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Boltenia villosa,194568,Boltenia villosa,Chordata,PMLS:2720,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Halocynthia igaboja,428524,Halocynthia igaboja,Chordata,PMLS:2721,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Pyura haustor,333504,Pyura haustor,Chordata,PMLS:2722,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Didemnum carnulentum,344918,Didemnum carnulentum,Chordata,PMLS:2723,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Aulorhynchus flavidus,117568,Aulorhynchus flavidus,Chordata,PMLS:2724,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Rhinogobiops nicholsii,132521,Rhinogobiops nicholsii,Chordata,PMLS:2725,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Apodichthys flavidus,67408,Apodichthys flavidus,Chordata,PMLS:2726,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Embiotoca lateralis,117555,Embiotoca lateralis,Chordata,PMLS:2727,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Phanerodon vacca,1316654,Rhacochilus vacca,Chordata,PMLS:2728,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Cymatogaster aggregata,98855,Cymatogaster aggregata,Chordata,PMLS:2729,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Brachyistius frenatus,117553,Brachyistius frenatus,Chordata,PMLS:2730,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Sebastes caurinus,68597,Sebastes caurinus,Chordata,PMLS:2731,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Sebastes maliger,63386,Sebastes maliger,Chordata,PMLS:2732,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Hexagrammos decagrammus,68596,Hexagrammos decagrammus,Chordata,PMLS:2733,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Hexagrammos stelleri,186849,Hexagrammos stelleri,Chordata,PMLS:2734,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Ophiodon elongatus,52539,Ophiodon elongatus,Chordata,PMLS:2735,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Oxylebius pictus,48452,Oxylebius pictus,Chordata,PMLS:2736,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Artedius harringtoni,117528,Artedius harringtoni,Chordata,PMLS:2737,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Jordania zonope,222465,Jordania zonope,Chordata,PMLS:2738,48.94167,-123.51333,1996-09-29 14:37:00,Charlie Gibbs,Marine
Sycon,347738,Sycon spp.,Porifera,PMLS:3002,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cliona californiana,424811,Cliona californiana,Porifera,PMLS:3003,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Halichondria bowerbanki,120498,Halichondria (Halichondria) bowerbanki,Porifera,PMLS:3004,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Haliclona,1227087,Haliclona (Haliclona) sp.2,Porifera,PMLS:3005,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Clathria pennata,63672,Clathria (Microciona) pennata,Porifera,PMLS:3006,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Metridium farcimen,51812,Metridium farcimen,Cnidaria,PMLS:3007,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Urticina clandestina,898651,Urticina clandestina,Cnidaria,PMLS:3008,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pachycerianthus fimbriatus,47702,Pachycerianthus fimbriatus,Cnidaria,PMLS:3009,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Balanophyllia elegans,51799,Balanophyllia elegans,Cnidaria,PMLS:3010,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Ptilosarcus gurneyi,448320,Ptilosarcus gurneyi,Cnidaria,PMLS:3011,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Virgularia,195571,Virgularia sp.,Cnidaria,PMLS:3012,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Abietinaria,55322,Abietinaria spp.,Cnidaria,PMLS:3013,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Lafoea dumosa,423721,Lafoea dumosa,Cnidaria,PMLS:3014,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cyanea ferruginea,786996,Cyanea ferruginea,Cnidaria,PMLS:3015,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Aurelia labiata,130235,Aurelia labiata,Cnidaria,PMLS:3016,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Aequorea,191502,Aequorea spp.,Cnidaria,PMLS:3017,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Clytia gregaria,195428,Clytia gregaria,Cnidaria,PMLS:3018,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Diopatra ornata,339286,Diopatra ornata,Annelida,PMLS:3019,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Serpula columbiana,131207,Serpula columbiana,Annelida,PMLS:3020,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Dodecaceria pacifica,1500739,Dodecaceria fewkesi,Annelida,PMLS:3021,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Chone aurantiaca,356415,Chone aurantiaca,Annelida,PMLS:3022,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pectinariidae,194009,Pectinariidae,Annelida,PMLS:3023,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Spiochaetopterus costarum,130236,Spiochaetopterus costarum pottsi,Annelida,PMLS:3024,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Membranipora villosa,360867,Membranipora villosa,Bryozoa,PMLS:3025,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Terebratalia transversa,122157,Terebratalia transversa,Brachiopoda,PMLS:3026,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Tonicella lineata,47425,Tonicella lineata,Mollusca,PMLS:3027,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Tonicella insignis,498132,Tonicella insignis,Mollusca,PMLS:3028,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Mopalia vespertina,364027,Mopalia vespertina,Mollusca,PMLS:3029,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Lepidozona mertensii,117621,Lepidozona mertensii,Mollusca,PMLS:3030,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cryptochiton stelleri,49053,Cryptochiton stelleri,Mollusca,PMLS:3031,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Chlamys,84497,Chlamys sp.,Mollusca,PMLS:3032,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Crassadoma gigantea,54526,Crassadoma gigantea,Mollusca,PMLS:3033,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pododesmus macrochisma,68652,Pododesmus macrochisma,Mollusca,PMLS:3034,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Panopea generosa,117618,Panopea generosa,Mollusca,PMLS:3035,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Bankia setacea,347368,Bankia setacea,Mollusca,PMLS:3036,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Ceratostoma foliatum,116687,Ceratostoma foliatum,Mollusca,PMLS:3037,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Gastropteron pacificum,49839,Gastropteron pacificum,Mollusca,PMLS:3038,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Geitodoris heathi,47505,Geitodoris heathi,Mollusca,PMLS:3039,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Diaulula odonoghuei,508237,Diaulula odonoghuei,Mollusca,PMLS:3040,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cadlina luteomarginata,50146,Cadlina luteomarginata complex,Mollusca,PMLS:3041,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Acanthodoris nanaimoensis,47476,Acanthodoris nanaimoensis,Mollusca,PMLS:3042,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Dendronotus iris,47706,Dendronotus iris,Mollusca,PMLS:3043,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Armina californica,47499,Armina californica,Mollusca,PMLS:3044,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Dirona albolineata,47477,Dirona albolineata,Mollusca,PMLS:3045,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Enteroctopus dofleini,48863,Enteroctopus dofleini,Mollusca,PMLS:3046,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Heptacarpus kincaidi,459524,Heptacarpus kincaidi,Arthropoda,PMLS:3047,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Heptacarpus tridens,459522,Heptacarpus tridens,Arthropoda,PMLS:3048,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pandalus stenolepis,459645,Pandalus stenolepis,Arthropoda,PMLS:3049,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Glebocarcinus oregonensis,429951,Glebocarcinus oregonensis,Arthropoda,PMLS:3050,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cancer productus,47826,Cancer productus,Arthropoda,PMLS:3051,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Metacarcinus gracilis,116721,Metacarcinus gracilis,Arthropoda,PMLS:3052,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pugettia producta,49723,Pugettia producta,Arthropoda,PMLS:3053,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Scyra acutifrons,47712,Scyra acutifrons,Arthropoda,PMLS:3054,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Petrolisthes eriomerus,47803,Petrolisthes eriomerus,Arthropoda,PMLS:3055,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Echidnocerus cibarius,1439280,Lopholithodes mandtii,Arthropoda,PMLS:3056,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Cryptolithodes sitchensis,47395,Cryptolithodes sitchensis,Arthropoda,PMLS:3057,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pagurus beringanus,362749,Pagurus beringanus,Arthropoda,PMLS:3058,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pagurus kennerlyi,459637,Pagurus kennerlyi,Arthropoda,PMLS:3059,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Balanus glandula,81610,Balanus glandula / Balanus crenatus,Arthropoda,PMLS:3060,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Balanus nubilus,49127,Balanus nubilus,Arthropoda,PMLS:3061,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pisaster ochraceus,49699,Pisaster ochraceus,Echinodermata,PMLS:3062,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Pisaster brevispinus,49539,Pisaster brevispinus,Echinodermata,PMLS:3063,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Evasterias troschelii,84265,Evasterias troschelii,Echinodermata,PMLS:3064,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
Orthasterias koehleri,47669,Orthasterias koehleri,Echinodermata,PMLS:3065,48.94167,-123.51333,1999-10-02 14:32:00,Andy Lamb,Marine
