"scientificName","scientificNameAuthority","taxonID","kingdom","phylum","class","order","subordr","infrrdr","family","genus","subgens","spcfcEp","infrspE","taxnRnk","instttC","cllctnC","ctlgNmb","datstNm","occrrID","rcrddBy","rcrdNmb","fldNmbr","eventDt","year","month","day","bssOfRc","localty","lctnRmr","island","sttPrvn","country","cntryCd","crdnUIM","grfrncB","grfrnVS","grfrncP","grfrncR","habitat","vrbtmDp","vrbtmEl","occrrnS","smplngP","occrrnR","indvdlC","sex","estblsM","prvnclS","ntnlStt","idntfdB","idntfcQ","idntfcR","prvsIdn","bblgrpC","assctdR","latitud","longitd"
"Berberis nervosa","Pursh",75756,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Berberidaceae","Berberis",NA,"Berberis nervosa",NA,"species","iNaturalist","Observations","61262700",NA,"https://www.inaturalist.org/observations/61262700","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Corallorhiza mertensiana","Bong",49444,"Plantae","Tracheophyta","Liliopsida","Asparagales",NA,NA,"Orchidaceae","Corallorhiza",NA,"Corallorhiza mertensiana",NA,"species","iNaturalist","Observations","80990443",NA,"https://www.inaturalist.org/observations/80990443","kristinop",NA,NA,"2021-05-30",2021,5,30,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",12,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"kristinop",NA,NA,NA,NA,NA,49.43,-123.5
"Geranium robertianum","L.",55925,"Plantae","Tracheophyta","Magnoliopsida","Geraniales",NA,NA,"Geraniaceae","Geranium",NA,"Geranium robertianum",NA,"species","iNaturalist","Observations","61262690",NA,"https://www.inaturalist.org/observations/61262690","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Hedera helix","L.",55882,"Plantae","Tracheophyta","Magnoliopsida","Apiales",NA,NA,"Araliaceae","Hedera",NA,"Hedera helix",NA,"species","iNaturalist","Observations","44039454",NA,"https://www.inaturalist.org/observations/44039454","vicmc",NA,NA,"2020-04-27",2020,4,27,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",8,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","SNA (2000)",NA,"vicmc",NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa hypopitys","L.",59986,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa hypopitys",NA,"species","iNaturalist","Observations","52756147",NA,"https://www.inaturalist.org/observations/52756147","botanybum",NA,NA,"2020-07-09",2020,7,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",26,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S3S4 (2001)",NA,"botanybum",NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","52756096",NA,"https://www.inaturalist.org/observations/52756096","botanybum",NA,NA,"2020-07-09",2020,7,9,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",4,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,NA,NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","89518536",NA,"https://www.inaturalist.org/observations/89518536","jaredbraund",NA,NA,"2021-08-01",2021,8,1,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",103,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"jaredbraund",NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","61262705",NA,"https://www.inaturalist.org/observations/61262705","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","88479554",NA,"https://www.inaturalist.org/observations/88479554","danielhennigar",NA,NA,"2021-07-24",2021,7,24,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",16,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"danielhennigar",NA,NA,NA,NA,NA,49.43,-123.5
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","55932204",NA,"https://www.inaturalist.org/observations/55932204","georgeamsmith",NA,NA,"2020-07-05",2020,7,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",10,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"giantcicada",NA,NA,NA,NA,NA,49.43,-123.5
"Polystichum munitum","(Kaulf.) C. Presl",47751,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Dryopteridaceae","Polystichum",NA,"Polystichum munitum",NA,"species","iNaturalist","Observations","61262689",NA,"https://www.inaturalist.org/observations/61262689","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Rubus spectabilis","Pursh",47543,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Rubus",NA,"Rubus spectabilis",NA,"species","iNaturalist","Observations","61262692",NA,"https://www.inaturalist.org/observations/61262692","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Rubus spectabilis","Pursh",47543,"Plantae","Tracheophyta","Magnoliopsida","Rosales",NA,NA,"Rosaceae","Rubus",NA,"Rubus spectabilis",NA,"species",NA,NA,NA,NA,"q-10562417678",NA,NA,NA,"2022-04-23",2022,4,23,"HUMAN_OBSERVATION",NA,NA,NA,NA,"Canada","CA",200,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.43,-123.5
"Struthiopteris spicant","(L.) F.W. Weiss",774894,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Blechnaceae","Struthiopteris",NA,"Struthiopteris spicant",NA,"species","iNaturalist","Observations","69601778",NA,"https://www.inaturalist.org/observations/69601778","Else Mikkelsen",NA,NA,"2021-02-14",2021,2,14,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",6710,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Else Mikkelsen",NA,NA,NA,NA,NA,49.43,-123.5
"Thuja plicata","Donn ex D. Don",48252,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Cupressaceae","Thuja",NA,"Thuja plicata",NA,"species","iNaturalist","Observations","61262701",NA,"https://www.inaturalist.org/observations/61262701","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Vaccinium parvifolium","Sm.",48354,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Vaccinium",NA,"Vaccinium parvifolium",NA,"species","iNaturalist","Observations","61262699",NA,"https://www.inaturalist.org/observations/61262699","jfclarke",NA,NA,"2020-09-26",2020,9,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",171,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"jfclarke",NA,NA,NA,NA,NA,49.43,-123.5
"Athyrium filix-femina var. cyclosorum","(L.) Roth",52669,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Athyriaceae","Athyrium",NA,"Athyrium filix-femina","cyclosorum","varietas","iNaturalist","Observations","44538605",NA,"https://www.inaturalist.org/observations/44538605","Patty",NA,NA,"2020-05-01",2020,5,1,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Chris Hoess",NA,NA,NA,NA,NA,49.412,-123.52
"Corallorhiza mertensiana","Bong",49444,"Plantae","Tracheophyta","Liliopsida","Asparagales",NA,NA,"Orchidaceae","Corallorhiza",NA,"Corallorhiza mertensiana",NA,"species",NA,NA,NA,NA,"q-10194283448",NA,NA,NA,"2020-06-14",2020,6,14,"HUMAN_OBSERVATION",NA,NA,NA,NA,"Canada","CA",2439,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.412,-123.52
"Lathyrus sylvestris","L.",82740,"Plantae","Tracheophyta","Magnoliopsida","Fabales",NA,NA,"Fabaceae","Lathyrus",NA,"Lathyrus sylvestris",NA,"species","iNaturalist","Observations","129857886",NA,"https://www.inaturalist.org/observations/129857886","Rand Rudland",NA,NA,"2022-08-07",2022,8,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",52,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2019)",NA,"Rand Rudland",NA,NA,NA,NA,NA,49.412,-123.52
"Pinus contorta var. contorta","Douglas",80130,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Pinus",NA,"Pinus contorta","contorta","varietas","iNaturalist","Observations","123859437",NA,"https://www.inaturalist.org/observations/123859437","Richard Beard",NA,NA,"2021-05-23",2021,5,23,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Richard Beard",NA,NA,NA,NA,NA,49.412,-123.52
"Sambucus racemosa var. arborescens","L.",1257067,"Plantae","Tracheophyta","Magnoliopsida","Dipsacales",NA,NA,"Viburnaceae","Sambucus",NA,"Sambucus racemosa","arborescens","varietas","iNaturalist","Observations","117682884",NA,"https://www.inaturalist.org/observations/117682884","Lyrae",NA,NA,"2022-05-16",2022,5,16,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"Lyrae",NA,NA,NA,NA,NA,49.475,-123.49
"Acer macrophyllum","Pursh",48227,"Plantae","Tracheophyta","Magnoliopsida","Sapindales",NA,NA,"Sapindaceae","Acer",NA,"Acer macrophyllum",NA,"species","iNaturalist","Observations","117682879",NA,"https://www.inaturalist.org/observations/117682879","Lyrae",NA,NA,"2022-05-16",2022,5,16,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Lyrae",NA,NA,NA,NA,NA,49.466,-123.49
"Carex zikae","E.H. Roalson & M.J. Waterway",494316,"Plantae","Tracheophyta","Liliopsida","Poales",NA,NA,"Cyperaceae","Carex",NA,"Carex zikae",NA,"species","RBCM","V","V191463",NA,"RBCM:Botany:V191463","Adolf Ceska","5698",NA,"1981-06-01",1981,6,1,"PRESERVED_SPECIMEN","Granthams Landing; Witherby Point: hill W of Witherby Point",NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,1,NA,"native","S4",NA,"Adolf Ceska",NA,NA,NA,NA,NA,49.484,-123.47
"Lysimachia latifolia","(Hook.) Cholewa",496537,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Primulaceae","Lysimachia",NA,"Lysimachia latifolia",NA,"species","iNaturalist","Observations","58607074",NA,"https://www.inaturalist.org/observations/58607074","rockfish8",NA,NA,"2020-05-07",2020,5,7,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",2416661,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4S5 (2015)",NA,"Jeffrey Murphy",NA,NA,NA,NA,NA,49.511,-123.46
"Pseudotsuga menziesii var. menziesii","(Mirb.) Franco",48256,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Pseudotsuga",NA,"Pseudotsuga menziesii","menziesii","varietas","iNaturalist","Observations","141200241",NA,"https://www.inaturalist.org/observations/141200241","BC Parks Foundation",NA,NA,"2022-04-15",2022,4,15,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"BC Parks Foundation",NA,NA,NA,NA,NA,49.484,-123.42
"Pseudotsuga menziesii var. menziesii","(Mirb.) Franco",48256,"Plantae","Tracheophyta","Pinopsida","Pinales",NA,NA,"Pinaceae","Pseudotsuga",NA,"Pseudotsuga menziesii","menziesii","varietas","iNaturalist","Observations","141200242",NA,"https://www.inaturalist.org/observations/141200242","BC Parks Foundation",NA,NA,"2022-04-15",2022,4,15,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"BC Parks Foundation",NA,NA,NA,NA,NA,49.484,-123.42
"Selaginella wallacei","Hieron",63875,"Plantae","Tracheophyta","Lycopodiopsida","Selaginellales",NA,NA,"Selaginellaceae","Selaginella",NA,"Selaginella wallacei",NA,"species","iNaturalist","Observations","92112971",NA,"https://www.inaturalist.org/observations/92112971","Cole Gaerber",NA,NA,"2021-08-21",2021,8,21,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",244,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5? (2015)",NA,"Cole Gaerber",NA,NA,NA,NA,NA,49.484,-123.42
"Goodyera oblongifolia","Raf.",50719,"Plantae","Tracheophyta","Liliopsida","Asparagales",NA,NA,"Orchidaceae","Goodyera",NA,"Goodyera oblongifolia",NA,"species",NA,NA,NA,NA,"q-10563338036",NA,NA,NA,"2022-04-24",2022,4,24,"HUMAN_OBSERVATION",NA,NA,NA,NA,"Canada","CA",1505,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,1,NA,"native","S5 (2015)",NA,NA,NA,NA,NA,NA,NA,49.475,-123.42
"Monotropa uniflora","L.",49477,"Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,NA,"Ericaceae","Monotropa",NA,"Monotropa uniflora",NA,"species","iNaturalist","Observations","128043518",NA,"https://www.inaturalist.org/observations/128043518","naturalistkevin",NA,NA,"2022-07-26",2022,7,26,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",1804,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2015)",NA,"David",NA,NA,NA,NA,NA,49.475,-123.42
"Coptis trifolia","(L.) Salisb.",126251,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Ranunculaceae","Coptis",NA,"Coptis trifolia",NA,"species","iNaturalist","Observations","73478843",NA,"https://www.inaturalist.org/observations/73478843","kaiden",NA,NA,"2018-06-27",2018,6,27,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"kaiden",NA,NA,NA,NA,NA,49.493,-123.41
"Adiantum aleuticum var. aleuticum","(Rupr.) Paris",52667,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Pteridaceae","Adiantum",NA,"Adiantum aleuticum","aleuticum","varietas","iNaturalist","Observations","52061694",NA,"https://www.inaturalist.org/observations/52061694","Ben Keen",NA,NA,"2020-07-05",2020,7,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4 (2012)",NA,"Ben Keen",NA,NA,NA,NA,NA,49.376,-123.4
"Alnus rubra","Bong.",56034,"Plantae","Tracheophyta","Magnoliopsida","Fagales",NA,NA,"Betulaceae","Alnus",NA,"Alnus rubra",NA,"species","iNaturalist","Observations","52060514",NA,"https://www.inaturalist.org/observations/52060514","Ben Keen",NA,NA,"2020-07-05",2020,7,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,49.376,-123.4
"Asplenium trichomanes","L.",75609,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Aspleniaceae","Asplenium",NA,"Asplenium trichomanes",NA,"species","iNaturalist","Observations","52062313",NA,"https://www.inaturalist.org/observations/52062313","Ben Keen",NA,NA,"2020-07-05",2020,7,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2020)",NA,"Ben Keen",NA,NA,NA,NA,NA,49.376,-123.4
"Asplenium trichomanes","L.",75609,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales",NA,NA,"Aspleniaceae","Asplenium",NA,"Asplenium trichomanes",NA,"species","iNaturalist","Observations","33620069",NA,"https://www.inaturalist.org/observations/33620069","Ben Keen",NA,NA,"2019-09-29",2019,9,29,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",NA,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2020)",NA,"Ben Keen",NA,NA,NA,NA,NA,49.376,-123.4
"Berberis nervosa","Pursh",75756,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales",NA,NA,"Berberidaceae","Berberis",NA,"Berberis nervosa",NA,"species","iNaturalist","Observations","108464960",NA,"https://www.inaturalist.org/observations/108464960","chriscts",NA,NA,"2022-03-12",2022,3,12,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",35,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2000)",NA,"chriscts",NA,NA,NA,NA,NA,49.376,-123.4
"Cardamine breweri var. orbicularis","S.Watson",239738,"Plantae","Tracheophyta","Magnoliopsida","Brassicales",NA,NA,"Brassicaceae","Cardamine",NA,"Cardamine breweri","orbicularis","varietas","iNaturalist","Observations","120444888",NA,"https://www.inaturalist.org/observations/120444888","Ben Keen",NA,NA,"2022-06-05",2022,6,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",178,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S4S5 (2015)",NA,"judith holm",NA,NA,NA,NA,NA,49.376,-123.4
"Corallorhiza mertensiana","Bong",49444,"Plantae","Tracheophyta","Liliopsida","Asparagales",NA,NA,"Orchidaceae","Corallorhiza",NA,"Corallorhiza mertensiana",NA,"species","iNaturalist","Observations","120444827",NA,"https://www.inaturalist.org/observations/120444827","Ben Keen",NA,NA,"2022-06-05",2022,6,5,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",244,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"native","S5 (2015)",NA,"Ben Keen",NA,NA,NA,NA,NA,49.376,-123.4
"Daphne laureola","L.",127391,"Plantae","Tracheophyta","Magnoliopsida","Malvales",NA,NA,"Thymelaeaceae","Daphne",NA,"Daphne laureola",NA,"species","iNaturalist","Observations","108465118",NA,"https://www.inaturalist.org/observations/108465118","chriscts",NA,NA,"2022-03-12",2022,3,12,"HUMAN_OBSERVATION",NA,NA,NA,"British Columbia","Canada","CA",35,NA,NA,NA,NA,NA,NA,NA,"present",NA,NA,NA,NA,"exotic","SNA (2001)",NA,"chriscts",NA,NA,NA,NA,NA,49.376,-123.4
