"iNaturalist taxon name","iNaturalist taxon ID","Taxon name","nameStatus","Common name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Tribe","Genus","Species","observationId","Latitude","Longitude","Date observed","Description","Place name","Recorded by","Event Remarks","coordinateUncertaintyInMeters","Individual count","Depth","Catalog Number","Confidence","Field number","Coordinates Corrected","Coordinates Corrected Note","Captive/Cultivated","Quality grade","STATE","CLASS","SUB_CLASS","COMMENT","Community","LABEL","LABEL_LAB","LEGEND_LAB","Rank"
"Entoloma",47165,"Entoloma","accepted","Pinkgills","Fungi","Basidiomycota","Agaricomycotina",,"Agaricomycetes","Agaricomycetidae",,"Agaricales","Tricholomatineae",,,"Entolomataceae",,,"Entoloma",,"iNat:2819483",48.950978,-123.516798,2016-03-22,,,"Andrew Simon",,127,,,,,,,,FALSE,"needs_id","Modified","PS","co","date est. 1966","Forests","Coniferous pole sapling",,"Pole Sapling","genus"
"Pteridium aquilinum",52681,"Pteridium aquilinum","accepted","common bracken","Plantae","Tracheophyta",,,"Polypodiopsida","Polypodiidae",,"Polypodiales","Dennstaedtiineae",,,"Dennstaedtiaceae",,,"Pteridium","aquilinum","iNat:2819485",48.950978,-123.516798,2016-03-22,,,"Andrew Simon",,127,,,,,,,,FALSE,"research","Modified","PS","co","date est. 1966","Forests","Coniferous pole sapling",,"Pole Sapling","species"
"Berberis nervosa",75756,"Berberis nervosa","accepted","Cascade Oregon-grape","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ranunculales",,,,"Berberidaceae","Berberidoideae","Berberideae","Berberis","nervosa","iNat:2819487",48.950978,-123.516798,2016-03-22,,,"Andrew Simon",,127,,,,,,,,FALSE,"research","Modified","PS","co","date est. 1966","Forests","Coniferous pole sapling",,"Pole Sapling","species"
"Demospongiae",57736,"Demospongiae","accepted","Demosponges","Animalia","Porifera",,,"Demospongiae",,,,,,,,,,,,"iNat:2975997",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","class"
"Aplousobranchia",541417,"Aplousobranchia","accepted",,"Animalia","Chordata","Tunicata",,"Ascidiacea",,,"Aplousobranchia",,,,,,,,,"iNat:2976065",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","order"
"Clathria",63671,"Clathria","accepted",,"Animalia","Porifera",,,"Demospongiae","Heteroscleromorpha",,"Poecilosclerida",,,,"Microcionidae","Microcioninae",,"Clathria",,"iNat:2976265",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","genus"
"Cottoidei",1303567,"Cottoidei","accepted","Sculpins and Allies","Animalia","Chordata","Vertebrata",,"Actinopterygii",,,"Perciformes","Cottoidei",,,,,,,,"iNat:2976329",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","suborder"
"Ophiuroidea",48836,"Ophiuroidea","accepted","Brittle Stars","Animalia","Echinodermata","Asterozoa",,"Ophiuroidea",,,,,,,,,,,,"iNat:2976608",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","class"
"Cladobranchia",801475,"Cladobranchia","accepted",,"Animalia","Mollusca",,,"Gastropoda","Heterobranchia","Nudipleura","Nudibranchia","Cladobranchia",,,,,,,,"iNat:2976633",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","suborder"
"Demospongiae",57736,"Demospongiae","accepted","Demosponges","Animalia","Porifera",,,"Demospongiae",,,,,,,,,,,,"iNat:2976662",48.940211,-123.502679,2013-10-13,,,"Peter",,184,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","class"
"Hieracium albiflorum",63937,"Hieracium albiflorum","accepted","white hawkweed","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Cichorioideae","Cichorieae","Hieracium","albiflorum","iNat:3368935",48.939687,-123.503097,2016-06-01 17:02:46,,,"Adam Huggins",,,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Goodyera oblongifolia",50719,"Goodyera oblongifolia","accepted","Western Rattlesnake Plantain","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Asparagales",,,,"Orchidaceae","Orchidoideae","Cranichideae","Goodyera","oblongifolia","iNat:3368938",48.939803,-123.502967,2016-06-01 17:06:35,,,"Adam Huggins",,,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Rubus leucodermis",63960,"Rubus leucodermis","accepted","whitebark raspberry","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Rosoideae","Rubeae","Rubus","leucodermis","iNat:3386997",48.943467,-123.50335,2016-06-02 23:26:35,,,"Adam Huggins",,,,,,,,,,FALSE,"research","Modified","YF","co",,"Forests","Young conifer forest",,"Young Forest","species"
"Empidonax difficilis",16598,"Empidonax difficilis","accepted","Western Flycatcher","Animalia","Chordata","Vertebrata",,"Aves",,,"Passeriformes",,,,"Tyrannidae",,,"Empidonax","difficilis","iNat:3398025",48.940084,-123.495054,2016-06-06 23:37:48,,,"Adam Huggins",,476,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Enallagma",50175,"Enallagma","accepted","Bluets","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Odonata","Zygoptera",,"Coenagrionoidea","Coenagrionidae",,,"Enallagma",,"iNat:3399819",48.948785,-123.50255,2016-06-05,,,"Andrew Simon",,111,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","genus"
"Libellula forensis",84369,"Libellula forensis","accepted","Eight-spotted Skimmer","Animalia","Arthropoda","Hexapoda",,"Insecta","Pterygota",,"Odonata","Anisoptera",,"Libelluloidea","Libellulidae",,,"Libellula","forensis","iNat:3399838",48.948785,-123.50255,2016-06-05,,,"Andrew Simon",,111,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Lilium columbianum",77744,"Lilium columbianum","accepted","Columbia lily","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Liliaceae","Lilioideae","Lilieae","Lilium","columbianum","iNat:3461706",48.94169,-123.498506,2016-06-14,,,"Andrew Simon",,165,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Rana aurora",25545,"Rana aurora","accepted","Northern Red-legged Frog","Animalia","Chordata","Vertebrata",,"Amphibia",,,"Anura",,,,"Ranidae",,,"Rana","aurora","iNat:3541475",48.940675,-123.497134,2016-06-28 19:50:37,,,"Adam Huggins",,1138,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Lapsana communis",55981,"Lapsana communis","accepted","nipplewort","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Cichorioideae","Cichorieae","Lapsana","communis","iNat:3553507",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Mycelis muralis",48543,"Mycelis muralis","accepted","Wall Lettuce","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Cichorioideae","Cichorieae","Mycelis","muralis","iNat:3553779",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Gaultheria shallon",48441,"Gaultheria shallon","accepted","salal","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ericales",,,,"Ericaceae","Vaccinioideae","Gaultherieae","Gaultheria","shallon","iNat:3554252",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Adenocaulon bicolor",56854,"Adenocaulon bicolor","accepted","American trailplant","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Mutisioideae","Mutisieae","Adenocaulon","bicolor","iNat:3555274",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Osmorhiza berteroi",53166,"Osmorhiza berteroi","accepted","mountain sweet cicely","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Apiales",,,,"Apiaceae","Apioideae","Scandiceae","Osmorhiza","berteroi","iNat:3555473",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Claytonia sibirica",55767,"Claytonia sibirica","accepted","Candy Flower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Montiaceae",,,"Claytonia","sibirica","iNat:3555774",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Adenocaulon bicolor",56854,"Adenocaulon bicolor","accepted","American trailplant","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Asterales",,,,"Asteraceae","Mutisioideae","Mutisieae","Adenocaulon","bicolor","iNat:3555889",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Claytonia sibirica",55767,"Claytonia sibirica","accepted","Candy Flower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Montiaceae",,,"Claytonia","sibirica","iNat:3555974",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Prunella vulgaris",52764,"Prunella vulgaris","accepted","common selfheal","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Lamiaceae","Nepetoideae","Mentheae","Prunella","vulgaris","iNat:3556007",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Veronica serpyllifolia",55749,"Veronica serpyllifolia","accepted","thyme-leaved speedwell","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Plantaginaceae",,"Veroniceae","Veronica","serpyllifolia","iNat:3556107",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Berberis nervosa",75756,"Berberis nervosa","accepted","Cascade Oregon-grape","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ranunculales",,,,"Berberidaceae","Berberidoideae","Berberideae","Berberis","nervosa","iNat:3556161",48.9512,-123.516369,2016-06-28,,,"Andrew Simon",,195,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Rumex occidentalis",61086,"Rumex occidentalis","accepted","western dock","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Polygonaceae","Polygonoideae","Rumiceae","Rumex","occidentalis","iNat:3557541",48.95109,-123.516669,2016-06-28,,,"Andrew Simon",,87,,,,,,,,FALSE,"needs_id","Modified","PS","co","date est. 1966","Forests","Coniferous pole sapling",,"Pole Sapling","species"
"Carex",48571,"Carex","accepted","true sedges","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Poales",,,,"Cyperaceae","Cyperoideae","Cariceae","Carex",,"iNat:3680950",48.950198,-123.513545,2016-07-13,,,"Andrew Simon",,87,,,,,,,,FALSE,"needs_id","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","genus"
"Lilium columbianum",77744,"Lilium columbianum","accepted","Columbia lily","Plantae","Tracheophyta","Angiospermae",,"Liliopsida",,,"Liliales",,,,"Liliaceae","Lilioideae","Lilieae","Lilium","columbianum","iNat:3725272",48.9414,-123.498087,2016-07-22 18:46:45,,,"Adam Huggins",,,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Semaeostomeae",48331,"Semaeostomeae","accepted","Flag-mouth Jellies","Animalia","Cnidaria",,,"Scyphozoa","Discomedusae",,"Semaeostomeae",,,,,,,,,"iNat:4028779",48.939985,-123.504156,2010-04-30 18:46:00,,,"Karolle Wall",,31,,,,,,,,FALSE,"needs_id","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","order"
"Claytonia sibirica",55767,"Claytonia sibirica","accepted","Candy Flower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Caryophyllales",,,,"Montiaceae",,,"Claytonia","sibirica","iNat:4058391",48.950095,-123.515082,2016-09-07 19:44:37,,,,,100,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Hylocomiadelphus triquetrus",1138381,"Hylocomiadelphus triquetrus","accepted","rough goose neck moss","Plantae","Bryophyta",,,"Bryopsida",,,"Hypnales",,,,"Hylocomiaceae",,,"Hylocomiadelphus","triquetrus","iNat:4058401",48.950366,-123.515421,2016-09-07 19:48:19,,,,,184,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Rhytidiadelphus loreus",124422,"Rhytidiadelphus loreus","accepted","Lanky Moss","Plantae","Bryophyta",,,"Bryopsida",,,"Hypnales",,,,"Hylocomiaceae",,,"Rhytidiadelphus","loreus","iNat:4058407",48.950125,-123.515126,2016-09-07 19:48:42,,,,,80,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Kindbergia oregana",120909,"Kindbergia oregana","accepted","Oregon Beaked Moss","Plantae","Bryophyta",,,"Bryopsida",,,"Hypnales",,,,"Brachytheciaceae",,,"Kindbergia","oregana","iNat:4058538",48.95013,-123.515151,2016-09-07 19:48:54,,,,,65,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Plagiomnium insigne",122705,"Plagiomnium insigne","accepted","Badge Moss","Plantae","Bryophyta",,,"Bryopsida",,,"Bryales",,,,"Mniaceae",,,"Plagiomnium","insigne","iNat:4058540",48.95003,-123.515136,2016-09-07 19:49:50,,,,,432,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Hypnum circinale",125464,"Hypnum circinale","accepted","Coiled-leaf claw-moss","Plantae","Bryophyta",,,"Bryopsida",,,"Hypnales",,,,"Hypnaceae",,,"Hypnum","circinale","iNat:4058551",48.950521,-123.515428,2016-09-07 19:51:14,,,,,5,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Prunella vulgaris",52764,"Prunella vulgaris","accepted","common selfheal","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Lamiales",,,,"Lamiaceae","Nepetoideae","Mentheae","Prunella","vulgaris","iNat:4058554",48.950558,-123.515596,2016-09-07 19:52:22,,,,,5,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Pseudisothecium stoloniferum",1262643,"Pseudisothecium stoloniferum","accepted","Cat's Tail Moss","Plantae","Bryophyta",,,"Bryopsida",,,"Hypnales",,,,"Lembophyllaceae",,,"Pseudisothecium","stoloniferum","iNat:5122618",48.941682,-123.501231,2017-02-16,,,"Andrew Simon",,10,,,,,,,,FALSE,"needs_id","Natural","LT",,,"Forests","Shoreline","Shoreline",,"species"
"Usnea glabrescens",233313,"Usnea glabrescens","accepted","Spotted Beard Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Usnea","glabrescens","iNat:5125230",48.942474,-123.500962,2017-02-16,,,"Andrew Simon",,75,,,,,,,,FALSE,"research","Modified","YF","co",,"Forests","Young conifer forest",,"Young Forest","species"
"Stereum",55503,"Stereum","accepted",,"Fungi","Basidiomycota","Agaricomycotina",,"Agaricomycetes",,,"Russulales",,,,"Stereaceae",,,"Stereum",,"iNat:5428683",48.947807,-123.500148,2017-03-22,,,,,61,,,,,,,,FALSE,"needs_id","Modified","YF","bd","heavily impacted from old gravel pit operation","Forests","Young broadleaf forest",,"Young Forest","genus"
"Urtica",51886,"Urtica","accepted","nettles","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Urticaceae",,,"Urtica",,"iNat:5483357",48.950836,-123.515997,2017-03-27,,,"Andrew Simon",,181,,,,,,,,FALSE,"needs_id","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","genus"
"Hypogymnia physodes",117971,"Hypogymnia physodes","accepted","Hooded Tube Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Hypogymnia","physodes","iNat:5486681",48.950577,-123.515663,2017-03-27,,,"Andrew Simon",,174,,,,,,,,FALSE,"needs_id","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Hypogymnia enteromorpha",222048,"Hypogymnia enteromorpha","accepted","Budding Tube Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Hypogymnia","enteromorpha","iNat:5486699",48.950577,-123.515663,2017-03-27,,,"Andrew Simon",,174,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Hypogymnia imshaugii",179042,"Hypogymnia imshaugii","accepted","Imshaug's Tube Lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Hypogymnia","imshaugii","iNat:5486708",48.950577,-123.515663,2017-03-27,,,"Andrew Simon",,174,,,,,,,,FALSE,"needs_id","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Tuckermanopsis orbata",813868,"Tuckermanopsis orbata","accepted","variable wrinkle-lichen","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Lecanorales",,,,"Parmeliaceae","Parmelioideae",,"Tuckermanopsis","orbata","iNat:5486711",48.950577,-123.515663,2017-03-27,,,"Andrew Simon",,174,,,,,,,,FALSE,"research","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Canis familiaris",47144,"Canis familiaris","accepted","Domestic Dog","Animalia","Chordata","Vertebrata",,"Mammalia","Theria","Laurasiatheria","Carnivora",,,,"Canidae",,,"Canis","familiaris","iNat:5486715",48.950577,-123.515663,2017-03-27,,,"Andrew Simon",,174,,,,,,,,TRUE,"casual","Modified","YF","co","date est. 1930","Forests","Young conifer forest",,"Young Forest","species"
"Amelanchier alnifolia semiintegrifolia",80360,"Amelanchier alnifolia semiintegrifolia","accepted","Pacific saskatoon","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Rosales",,,,"Rosaceae","Amygdaloideae","Maleae","Amelanchier","alnifolia","iNat:6299007",48.940353,-123.503301,2017-05-18 19:52:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Plectritis congesta",57786,"Plectritis congesta","accepted","shortspur seablush","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Dipsacales",,,,"Caprifoliaceae","Valerianoideae",,"Plectritis","congesta","iNat:6299008",48.940353,-123.503301,2017-05-18 19:52:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Geranium robertianum",55925,"Geranium robertianum","accepted","Herb Robert","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Geraniales",,,,"Geraniaceae",,,"Geranium","robertianum","iNat:6299009",48.940353,-123.503301,2017-05-18 19:56:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Lathyrus nevadensis",77640,"Lathyrus nevadensis","accepted","Sierra Nevada Peavine","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Fabales",,,,"Fabaceae","Faboideae","Fabeae","Lathyrus","nevadensis","iNat:6299010",48.940353,-123.503301,2017-05-18 19:53:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Lobaria pulmonaria",48711,"Lobaria pulmonaria","accepted","Tree Lungwort","Fungi","Ascomycota","Pezizomycotina",,"Lecanoromycetes","Lecanoromycetidae",,"Peltigerales",,,,"Lobariaceae",,,"Lobaria","pulmonaria","iNat:6299011",48.940353,-123.503301,2017-05-18 19:56:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Lysimachia latifolia",496537,"Lysimachia latifolia","accepted","Western Starflower","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Ericales",,,,"Primulaceae","Myrsinoideae",,"Lysimachia","latifolia","iNat:6299012",48.940353,-123.503301,2017-05-18 19:59:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
"Paxistima myrsinites",63893,"Paxistima myrsinites","accepted","Oregon Boxwood","Plantae","Tracheophyta","Angiospermae",,"Magnoliopsida",,,"Celastrales",,,,"Celastraceae",,,"Paxistima","myrsinites","iNat:6299013",48.940353,-123.503301,2017-05-18 19:59:00,,,"Andrew Simon",,28,,,,,,,,FALSE,"research","Natural","MF","co",,"Forests","Mature conifer forest",,"Mature Forest","species"
